# Generated from https://raw.githubusercontent.com/Azderi/osrs-tcg/main/src/main/resources/Card.json
# name\tcategory\timageUrl
'24-carat' sword	Resource	https://oldschool.runescape.wiki/images/thumb/%2724-carat%27_sword_detail.png/130px-%2724-carat%27_sword_detail.png
10th birthday balloons	Resource	https://oldschool.runescape.wiki/images/thumb/10th_birthday_balloons_detail.png/130px-10th_birthday_balloons_detail.png
10th birthday cape	Resource	https://oldschool.runescape.wiki/images/thumb/10th_birthday_cape_detail.png/130px-10th_birthday_cape_detail.png
18lb shot	Resource	https://oldschool.runescape.wiki/images/thumb/18lb_shot_detail.png/130px-18lb_shot_detail.png
20th anniversary boots	Resource	https://oldschool.runescape.wiki/images/thumb/20th_anniversary_boots_detail.png/130px-20th_anniversary_boots_detail.png
20th anniversary bottom	Resource	https://oldschool.runescape.wiki/images/thumb/20th_anniversary_bottom_detail.png/130px-20th_anniversary_bottom_detail.png
20th anniversary cape	Resource	https://oldschool.runescape.wiki/images/thumb/20th_anniversary_cape_detail.png/130px-20th_anniversary_cape_detail.png
20th anniversary gloves	Resource	https://oldschool.runescape.wiki/images/thumb/20th_anniversary_gloves_detail.png/130px-20th_anniversary_gloves_detail.png
20th anniversary hat	Resource	https://oldschool.runescape.wiki/images/thumb/20th_anniversary_hat_detail.png/130px-20th_anniversary_hat_detail.png
20th anniversary necklace	Resource	https://oldschool.runescape.wiki/images/thumb/20th_anniversary_necklace_detail.png/130px-20th_anniversary_necklace_detail.png
20th anniversary top	Resource	https://oldschool.runescape.wiki/images/thumb/20th_anniversary_top_detail.png/130px-20th_anniversary_top_detail.png
22lb shot	Resource	https://oldschool.runescape.wiki/images/thumb/22lb_shot_detail.png/130px-22lb_shot_detail.png
25th anniversary 5x5 hat	Resource	https://oldschool.runescape.wiki/images/thumb/25th_anniversary_5x5_hat_detail.png/130px-25th_anniversary_5x5_hat_detail.png
25th anniversary helmet	Resource	https://oldschool.runescape.wiki/images/thumb/25th_anniversary_helmet_detail.png/130px-25th_anniversary_helmet_detail.png
25th anniversary skeleton tabard	Resource	https://oldschool.runescape.wiki/images/thumb/25th_anniversary_skeleton_tabard_detail.png/130px-25th_anniversary_skeleton_tabard_detail.png
