# NPC card image URLs from OSRS TCG Card.json.
# TCG Locked shares OSRS TCG's persistent disk cache so each URL is downloaded at most once.
# Generated by scripts/generate-card-catalogs.js - do not edit by hand.
# 1227 cards.
A corpse	https://oldschool.runescape.wiki/images/thumb/A_corpse.png/130px-A_corpse.png
A Doubt	https://oldschool.runescape.wiki/images/thumb/A_Doubt.png/130px-A_Doubt.png
Aberrant spectre	https://oldschool.runescape.wiki/images/thumb/Aberrant_spectre.png/130px-Aberrant_spectre.png
Abhorrent spectre	https://oldschool.runescape.wiki/images/thumb/Abhorrent_spectre.png/130px-Abhorrent_spectre.png
Abomination	https://oldschool.runescape.wiki/images/thumb/Abomination.png/130px-Abomination.png
Abyssal antibody	https://oldschool.runescape.wiki/images/thumb/Abyssal_antibody.png/130px-Abyssal_antibody.png
Abyssal demon	https://oldschool.runescape.wiki/images/thumb/Abyssal_demon.png/130px-Abyssal_demon.png
Abyssal guardian	https://oldschool.runescape.wiki/images/thumb/Abyssal_guardian.png/130px-Abyssal_guardian.png
Abyssal leech	https://oldschool.runescape.wiki/images/thumb/Abyssal_leech.png/130px-Abyssal_leech.png
Abyssal Sire	https://oldschool.runescape.wiki/images/thumb/Abyssal_Sire_%28phase_1%29.png/130px-Abyssal_Sire_%28phase_1%29.png
Abyssal walker	https://oldschool.runescape.wiki/images/thumb/Abyssal_walker.png/130px-Abyssal_walker.png
Achtryn	https://oldschool.runescape.wiki/images/thumb/Achtryn.png/130px-Achtryn.png
Acidic Araxyte	https://oldschool.runescape.wiki/images/thumb/Egg_%28Acidic_Araxyte%29.png/130px-Egg_%28Acidic_Araxyte%29.png
Acidic Bloodveld	https://oldschool.runescape.wiki/images/thumb/Acidic_Bloodveld.png/130px-Acidic_Bloodveld.png
Adala	https://oldschool.runescape.wiki/images/thumb/Adala.png/130px-Adala.png
Adamant dragon	https://oldschool.runescape.wiki/images/thumb/Adamant_dragon.png/130px-Adamant_dragon.png
Afflicted	https://oldschool.runescape.wiki/images/thumb/Afflicted_%28level_30%29.png/130px-Afflicted_%28level_30%29.png
Agile Scarab	https://oldschool.runescape.wiki/images/thumb/Agile_Scarab.png/130px-Agile_Scarab.png
Agile Warrior	https://oldschool.runescape.wiki/images/thumb/Agile_Warrior.png/130px-Agile_Warrior.png
Agrith Naar	https://oldschool.runescape.wiki/images/thumb/Agrith_Naar.png/130px-Agrith_Naar.png
Agrith-Na-Na	https://oldschool.runescape.wiki/images/thumb/Agrith-Na-Na.png/130px-Agrith-Na-Na.png
Ahrim the Blighted	https://oldschool.runescape.wiki/images/thumb/Ahrim_the_Blighted.png/130px-Ahrim_the_Blighted.png
Air elemental	https://oldschool.runescape.wiki/images/thumb/Air_elemental.png/130px-Air_elemental.png
Air wizard	https://oldschool.runescape.wiki/images/thumb/Air_wizard.png/130px-Air_wizard.png
Akkha	https://oldschool.runescape.wiki/images/thumb/Akkha.png/130px-Akkha.png
Akkha's Phantom	https://oldschool.runescape.wiki/images/thumb/Akkha%27s_Phantom.png/130px-Akkha%27s_Phantom.png
Akkha's Shadow	https://oldschool.runescape.wiki/images/thumb/Akkha%27s_Shadow.png/130px-Akkha%27s_Shadow.png
Al Kharid warrior	https://oldschool.runescape.wiki/images/thumb/Al_Kharid_warrior.png/130px-Al_Kharid_warrior.png
Albatross	https://oldschool.runescape.wiki/images/thumb/Albatross_%28defeated%29.png/130px-Albatross_%28defeated%29.png
Albino bat	https://oldschool.runescape.wiki/images/thumb/Albino_bat.png/130px-Albino_bat.png
Alchemical Hydra	https://oldschool.runescape.wiki/images/thumb/Alchemical_Hydra_%28serpentine%29.png/130px-Alchemical_Hydra_%28serpentine%29.png
Alexis	https://oldschool.runescape.wiki/images/thumb/Alexis.png/130px-Alexis.png
Alrik	https://oldschool.runescape.wiki/images/thumb/Alrik.png/130px-Alrik.png
Ammonite Crab	https://oldschool.runescape.wiki/images/thumb/Fossil_Rock.png/130px-Fossil_Rock.png
Amoxliatl	https://oldschool.runescape.wiki/images/thumb/Amoxliatl.png/130px-Amoxliatl.png
Ancient Custodian	https://oldschool.runescape.wiki/images/thumb/Ancient_Custodian.png/130px-Ancient_Custodian.png
Ancient Guardian	https://oldschool.runescape.wiki/images/thumb/Ancient_Guardian.png/130px-Ancient_Guardian.png
